Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
St. Peter's Episcopal Love Kitchen,2500 Westchester Avenue,Bronx,10461,40.838527,-73.843826,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
St. Luke's Lutheran Church,308 West   46 Street,New York,10036,40.759871,-73.988705,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Hamaspik Of Kings County  Inc.,295 Division Avenue,Brooklyn,11211,40.707317,-73.956138,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
H.O. Scott Education and Comm. Ctr. Peach Cobbler,15-10 Redfern Avenue,Far Rockaway,11691,40.608491,-73.752266,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Wellness Center at Waters Place OTP,1510 Waters Place,Bronx,10461,40.845909,-73.840762,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Catholic Guardian Services,1011 1 Avenue,New York,10022,40.757478,-73.964018,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
0276 - Staten Island Ddso,1150 Forest Hill Road,Staten Is,10314,40.593484,-74.145274,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Neighbors Together,2094 Fulton Street,Brooklyn,11233,40.678204,-73.913832,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Grace Episcopal Church,1909 Vyse Avenue,Bronx,10460,40.840594,-73.883648,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Prospect Hill Senior Services Center,283 Prospect Avenue,Brooklyn,11215,40.663532,-73.988801,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Lower East Side Family Union,84 Stanton Street,New York,10002,40.72168,-73.988771,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Grace Reformed Church of Flatbush,1800 Bedford Avenue,Brooklyn,11225,40.661706,-73.957269,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Friendly Christian Church,569 Hart Street,Brooklyn,11221,40.697183,-73.92927,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
BRC Project Rescue,127 West   25 Street,New York,10001,40.744921,-73.993034,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Cornerstone SDA Church,138 Pennsylvania Avenue,Brooklyn,11207,40.67449,-73.896943,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Quality Services Beyond Compliance,1012 Gates Avenue,Brooklyn,11221,40.689172,-73.922989,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
The Other Place/Goddard Riverside,264 West   87 Street,New York,10024,40.789268,-73.977168,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Bread of Life Mission,2176 Grand Concourse,Bronx,10457,40.855019,-73.900827,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Lifestyles For The Disabled,930 Willowbrook Road,Staten Is,10314,40.602664,-74.143467,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
New York Common Pantry,8 East  109 Street,New York,10029,40.795786,-73.949228,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Special Citizens Futures Unlimited  Inc.,1775 Grand Concourse,Bronx,10453,40.846499,-73.910377,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Kingsbridge Heights Community Center,3101 Kingsbridge Terrace,Bronx,10463,40.877611,-73.900705,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Children's Aid Society,105 East   22 Street,New York,10010,40.739501,-73.986321,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
The Good Shephard  Inc.,89 Arlington Avenue,Staten Is,10303,40.638078,-74.16711,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Ebenezer Pilgrim Holiness Church,708 East  216 Street,Bronx,10467,40.881106,-73.863594,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Brooklyn Community Services (Dba),285 Schermerhorn Street,Brooklyn,11217,40.687702,-73.982776,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Morris Brown AME Church,145-03 Rockaway Boulevard,Jamaica,11436,40.673854,-73.793448,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
GMHC Meals Program,446 West   33 Street,New York,10001,40.753385,-73.99842,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Human Care Svcs For Families & Children,1042 38 Street,Brooklyn,11219,40.644272,-73.991268,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
We Care Community Outreach,1624 East  172 Street,Bronx,10472,40.831623,-73.874818,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Ila Case Management Services Inc,110 York Street,Brooklyn,11201,40.701361,-73.986945,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Trinity Lutheran Church,175 Beach Street,Staten Is,10304,40.630238,-74.081131,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Caldwell Temple AME ZION Church,1288 Rev James Polite Avenue,Bronx,10459,40.829609,-73.895318,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
St. Ann's Corner Of Harm Reduction,886 Westchester Avenue,Bronx,10459,40.82039,-73.899517,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
START Treatment & Recovery Centers OTP,1149 Myrtle Avenue,Brooklyn,11206,40.697181,-73.934871,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
New York City Rescue Mission,90 Lafayette Street,New York,10013,40.717543,-74.001614,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
The Salvation Army Stapleton Corps,15 Broad Street,Staten Is,10304,40.625811,-74.075702,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Pesach Tikvah,18 Middleton Street,Brooklyn,11206,40.700264,-73.954809,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
S.K.I.P. Of New York  Inc.,601 West   26 Street,New York,10001,40.751586,-74.006557,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Hand In Hand Family Services  Inc.,390 Kings Highway,Brooklyn,11223,40.60433,-73.975715,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Jewel Human Services Inc,121-10 153 Street,Jamaica,11434,40.677317,-73.788875,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Part of the Solution (POTS),2759 Webster Avenue,Bronx,10458,40.865847,-73.88667,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Community Action F/Human Services  Inc,2225 Lodovick Avenue,Bronx,10469,40.858218,-73.837466,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Brooklyn Faith SDA Church,5518 Church Avenue,Brooklyn,11203,40.652295,-73.924907,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
The Salvation Army Manhattan Citadel,175 East  125 Street,New York,10035,40.804182,-73.935855,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Hebrew Academy For Special Children Inc,5902 14 Avenue,Brooklyn,11219,40.628099,-73.996128,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Bethel Seventh-Day Adventist Church,457 Grand Avenue,Brooklyn,11238,40.681708,-73.961182,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
S Brooklyn Medical Admin Srvs Inc. OTP,685 3 Avenue,Brooklyn,11232,40.663899,-73.997182,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
East 233rd Street Senior Center,732 East  233 Street,Bronx,10466,40.892787,-73.856157,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Lower Eastside Svc Ctr SuCasa M-IR,7 Gouverneur Slip East,New York,10002,40.711005,-73.982917,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Newman Memorial United Methodist Church,257 Macon Street,Brooklyn,11216,40.682294,-73.941104,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Goodwill Indus. Of Greater NY,4-21 27 Avenue,Astoria,11102,40.77492,-73.932712,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Block Institute,376 Bay   44 Street,Brooklyn,11214,40.587835,-73.993986,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Fspdd North Central Bronx Hospital,160 Water Street,New York,10038,40.706815,-74.005864,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Communitiy Resources For The Dd,3450 Victory Boulevard,Staten Is,10314,40.602919,-74.173391,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Person Centered Care Services  Inc.,150 Granite Avenue,Staten Is,10303,40.633634,-74.14869,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
NYC Bd Of Ed PS-255q,158-40 76 Road,Fresh Meadows,11366,40.724209,-73.809041,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Starting Point Clinic OTP,119 West  124 Street,New York,10027,40.807668,-73.946802,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Hetrick- Martin Institute,2 Astor Place,New York,10003,40.72978,-73.992721,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Allen Outreach Ministry Feeding Program,111-54 Merrick Boulevard,Jamaica,11433,40.693051,-73.780763,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Southeast Bronx Neighborhood Center  Inc,955 Tinton Avenue,Bronx,10456,40.823223,-73.903367,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Evelyn Douglin Ctr Serv. People In Need,241 37 Street,Brooklyn,11232,40.655942,-74.00824,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Creston Avenue Baptist Church,114 East  188 Street,Bronx,10468,40.861686,-73.899155,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Crown Heights Community Outreach Center,467 Rutland Road,Brooklyn,11203,40.659968,-73.945022,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Eihab Human Services  Inc.,168-18 South Conduit Avenue,Jamaica,11434,40.666853,-73.77546,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
City Access New York Inc,1207 Castleton Avenue,Staten Is,10310,40.63425,-74.122701,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Kaleidoscope Clinic OTP,119 West  124 Street,New York,10027,40.807668,-73.946802,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Bedford Haitian Community Center,229 Rogers Avenue,Brooklyn,11225,40.668573,-73.953175,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
First Presbyterian Church Of Jamaica,89-60 164 Street,Jamaica,11432,40.705788,-73.79665,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Metropolitan Family Services  Inc.,1958 Fulton Street,Brooklyn,11233,40.678414,-73.920181,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Advocates F/Svcs To Blind & Multihandica,3106 Coney Island Avenue,Brooklyn,11235,40.580228,-73.960084,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
St. Anthony of Padua Church,1496 Commonwealth Avenue,Bronx,10460,40.837864,-73.868895,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
St. Michael's Church,225 West   99 Street,New York,10025,40.796536,-73.969302,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Partnership For Innovative Comprehensive,134 West   29 Street,New York,10001,40.747144,-73.991772,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
North Central Bronx Hospital Medicaid Office,3424 Kossuth Avenue,Bronx,10467,40.88046,-73.881093,Human Services,Financial Assistance and Social Services,Medicaid Offices
Extended Care Program OTP,1900 2 Avenue,New York,10029,40.785072,-73.945018,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
West Midtown Management Group OTP,311 West   35 Street,New York,10001,40.753289,-73.993448,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Allcare Provider Services  Inc,3040 East Tremont Avenue,Bronx,10461,40.839423,-73.837111,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
N Y S Institute On Disability  Inc.,930 Willowbrook Road,Staten Is,10314,40.602664,-74.143467,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
OPIN (Other People In Need),1768 St Johns Place,Brooklyn,11233,40.669615,-73.91852,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Wellness Center at Port Morris OTP,804 East  138 Street,Bronx,10454,40.803403,-73.910505,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
LESC Pregnant Women & Infants M-IR,7 Gouverneur Slip East,New York,10002,40.711005,-73.982917,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
BIMC - Gouverneur OTP,109 Delancey Street,New York,10002,40.718343,-73.988636,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Interfaith Medical Ctr MMTP Clinic OTP,880 Bergen Street,Brooklyn,11238,40.676853,-73.958306,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Project Hospitality Inc.,514 Bay Street,Staten Is,10304,40.629401,-74.076894,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Park Slope Christian Help Inc. (CHIPS),200 4 Avenue,Brooklyn,11217,40.678335,-73.982847,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Staten Island University Hosp. OTP 2,425 Coney Island Avenue,Brooklyn,11218,40.64723,-73.970738,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Long Life Info & Referral Network,1958 Fulton Street,Brooklyn,11233,40.678414,-73.920181,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Third Horizon Clinic OTP,2193 3 Avenue,New York,10035,40.800112,-73.938053,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
St. Augustine American Catholic Church,298 Schenectady Avenue,Brooklyn,11213,40.668263,-73.934188,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
New York Foundling Hospital,590 Avenue Of The Americas,New York,10011,40.73889,-73.99518,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Jamaica Hospital Medical Center,89-00 Van Wyck Expressway Sr West,Richmond Hill,11418,40.700392,-73.816278,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Salvation Army New York Temple,132 West   14 Street,New York,10011,40.737801,-73.998636,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Social Action Center  Inc.,665 Pelham Parkway North,Bronx,10467,40.858117,-73.868838,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Kennedy Child Study Center,151 East   67 Street,New York,10065,40.767248,-73.964003,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Independent Living Association  Inc.,110 York Street,Brooklyn,11201,40.701361,-73.986945,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
VIP Community Services OTP,1910 Arthur Avenue,Bronx,10457,40.845449,-73.893028,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Assn F/Help Of Retarded Child.,83 Maiden Lane,New York,10038,40.707536,-74.007361,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Catholic Charities Neighborhood Svcs,191 Joralemon Street,Brooklyn,11201,40.692814,-73.991767,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
National Council of Jewish Women,241 West   72 Street,New York,10023,40.779504,-73.982994,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Child & Family Support Services,1686 Grand Concourse,Bronx,10457,40.844116,-73.911043,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
First Church of God in Christ,187-10 Baisley Boulevard,Saint Albans,11412,40.690194,-73.762932,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
MMTP Avenue A  Clinic OTP 1,26 Avenue A,New York,10009,40.723073,-73.985327,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Hebrew Educational Society,9502 Seaview Avenue,Brooklyn,11236,40.63252,-73.890681,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Ucpa Of New York State  Inc.,330 West   34 Street,New York,10001,40.752549,-73.995421,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Creative Lifestyles  Inc,67 Bruckner Boulevard,Bronx,10454,40.806566,-73.926239,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Mt. Zion Baptist Church Mission Outreach,106-60 Union Hall Street,Jamaica,11433,40.697782,-73.793675,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
NY Families For Autistic Children,95-16 Pitkin Avenue,Ozone Park,11417,40.672331,-73.840492,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Unit II KEEP,2369 2 Avenue,New York,10035,40.800668,-73.935502,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
The Church of the Village - Hope for Our Neighbors,201 West   13 Street,New York,10011,40.738156,-74.000394,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Bronx-Lebanon Hospital Center OTP,1276 Fulton Avenue,Bronx,10456,40.831406,-73.903219,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Lower East Side Service Ctr OTP,46 East Broadway,New York,10002,40.713777,-73.995863,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
"The Harding Ford Vision, Inc.",157-22 South Road,Jamaica,11433,40.698147,-73.797056,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
The Salvation Army Jamaica Citadel,90-23 161 Street,Jamaica,11432,40.704861,-73.798697,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Haitian Americans U.F.P. Inc.,197-17 Hilside Avenue,Hollis,11423,40.718541,-73.76521,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Metropolitan Hospital Center OTP,1900 2 Avenue,New York,10029,40.785072,-73.945018,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Program Development Services,6916 New Utrecht Avenue,Brooklyn,11228,40.620176,-73.998986,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Momentum Project Inc. @ COGOP,85 East  165 Street,Bronx,10452,40.831745,-73.922125,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Mercy Home For Children,273 Willoughby Avenue,Brooklyn,11205,40.692821,-73.96021,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
St. Josephs Soup Kitchen Incorporated,371 Avenue Of The Americas,New York,10014,40.732758,-74.000602,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Father's Heart Ministries,543 East   11 Street,New York,10009,40.727884,-73.979868,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Meals on Wheels of Staten Island Inc.,304 Port Richmond Avenue,Staten Is,10302,40.634224,-74.136275,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Hasc Center  Inc.,5601 1 Avenue,Brooklyn,11220,40.646708,-74.022421,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Harlem No. 2 OTP,103 East  125 Street,New York,10035,40.805145,-73.9385,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Joseph Bulova School,40-24 62 Street,Woodside,11377,40.743848,-73.902828,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Highbridge Clinic OTP,500 West  180 Street,New York,10033,40.847457,-73.931786,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Trinity's Services and Food for the Homeless Inc.,602 East    9 Street,New York,10009,40.726018,-73.980122,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
United Bronx Parents,603 Prospect Avenue,Bronx,10455,40.813984,-73.904198,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Church of God of Prophecy,71 Malta Street,Brooklyn,11207,40.659047,-73.894984,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Mission Of The Immaculate Virgin (The),6581 Hylan Boulevard,Staten Is,10309,40.51219,-74.222434,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Cumberland Clinic OTP 2,100 Flatbush Avenue,Brooklyn,11217,40.685664,-73.978901,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Ramon Velez Recovery Center OTP,754 East  151 Street,Bronx,10455,40.814616,-73.907272,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Parent To Parent Of N.Y. Inc.,1050 Forest Hill Road,Staten Is,10314,40.597638,-74.142336,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Jewish Union Foundation,11 Broadway,New York,10004,40.705301,-74.014258,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Long Island Jewish Medical Center OTP,75-59 263 Street,Floral Park,11005,40.750728,-73.710726,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Rutgers Thursday Nighters,236 West   73 Street,New York,10023,40.779564,-73.982302,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Salem United Methodist Church,211 West  129 Street,New York,10027,40.812012,-73.947052,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Montefiore Medical Center OTP,2058 Jerome Avenue,Bronx,10453,40.854096,-73.906747,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
St. Anthony Baptist Church,425 Utica Avenue,Brooklyn,11213,40.663824,-73.931154,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Grace Foundation  Inc.,460 Brielle Avenue,Staten Is,10314,40.592297,-74.131744,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Ucp Of New York City  Inc.,80 Maiden Lane,New York,10038,40.707083,-74.007796,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Independence Residences  Inc.,93-22 Jamaica Avenue,Woodhaven,11421,40.69362,-73.851536,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Central Harlem Alcohol Crisis Center,419 West  126 Street,New York,10027,40.81276,-73.954079,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
"Manna of Life Ministries, Inc.",578 East  166 Street,Bronx,10456,40.827487,-73.9057,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Fraternite Notre Dame,2290 1 Avenue,New York,10035,40.797019,-73.934351,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
"Lafayette Medical Approach, LLC OTP",233 Lafayette Street,New York,10012,40.722447,-73.996863,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
The Salvation Army - Templo de Queens,86-07 35 Avenue,Jackson Heights,11372,40.752448,-73.880666,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Unique People Services  Inc.,4234 Vireo Avenue,Bronx,10470,40.896594,-73.864284,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Union Baptist Church,461 Decatur Street,Brooklyn,11233,40.682678,-73.924724,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Chinese American Planning Council,136-18 39 Avenue,Flushing,11354,40.76011,-73.829397,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Yaldeinu School Inc,1600 63 Street,Brooklyn,11204,40.622499,-73.993009,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Heavens Hands Community Services Inc,882 Third Avenue  10th Floor,Brooklyn,11232,40.657578,-74.004543,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Beth Israel Medical Ctr Clinic 3G OTP,429 2 Avenue,New York,10010,40.739012,-73.980415,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Loyal Baptist Church,881 East  167 Street,Bronx,10459,40.826203,-73.896227,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Puerto Rican Family Institute  Inc.,145 West   15 Street,New York,10011,40.738954,-73.997908,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Maranatha Human Services  Inc.,108-23 Jamaica Avenue,Richmond Hill,11418,40.696055,-73.838951,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Heritage Human Services Inc,10551 Avenue K,Brooklyn,11236,40.645295,-73.889888,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Senior Citizens F/Improved Community,312 East  109 Street,New York,10029,40.792076,-73.940388,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Riverstone Senior Life Services  Inc.,99 Ft Washington Avenue,New York,10032,40.839339,-73.944668,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
My Time  Inc.,1312 East   84 Street,Brooklyn,11236,40.630396,-73.902928,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Women's League Com. Residences,1556 38 Street,Brooklyn,11218,40.637558,-73.9801,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Friendly Hands Ministry Inc.,229 East 118th Street (Ground Floor),New York,10035,40.798757,-73.938263,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Faith Assemblies,1014 Gates Avenue,Brooklyn,11221,40.689178,-73.92281,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Agape Christian Center,59-02 Summerfield Street,Ridgewood,11385,40.699211,-73.897699,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Selfhelp Community Servcies  Inc.,138-52 Elder Avenue,Flushing,11355,40.752543,-73.822514,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Unique Life  Inc.,2197 New England Thruway Service Road,Bronx,10475,40.882046,-73.83046,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Centro Social La Esperanza  Inc.,516 West  181 Street,New York,10033,40.84836,-73.932184,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Concourse Medical Center OTP,880 Morris Avenue,Bronx,10451,40.825712,-73.918028,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Immaculate Conception Church,754 East Gun Hill Road,Bronx,10467,40.876323,-73.864434,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Vincent P. Dole Clinic OTP,25 12 Street,Brooklyn,11215,40.672232,-73.996896,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Gethsemane Outreach Ministries Inc.,144 Newport Street,Brooklyn,11212,40.659011,-73.909764,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Grand Central Neighborhood Social Service Corp.,120 East   32 Street,New York,10016,40.745206,-73.981468,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Samaritan Daytop Village Inc M-IR,130-20 89 Road,Richmond Hill,11418,40.699545,-73.820227,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Salvation Army Harlem Temple Corps,540 Lenox Avenue,New York,10037,40.815546,-73.939287,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Sinergia,2082 Lexington Avenue,New York,10035,40.805002,-73.937346,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
PregnantAddictsAddictedMothersPgm OTP,1900 2 Avenue,New York,10029,40.785072,-73.945018,Health Care,Chemical Dependency,Opioid Treatment Program Chemical Dependency
Shiloh Temple Pentecostal Church,719 East  223 Street,Bronx,10466,40.886323,-73.860429,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Samuel Field Ym-Ywha Of Greater NYC,58-20 Little Neck Parkway,Little Neck,11362,40.760816,-73.723278,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Quincy Community Service Inc.,84 Quincy Street,Brooklyn,11238,40.68593,-73.957914,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Jewish Guild For The Blind,15 West   65 Street,New York,10023,40.77255,-73.980391,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
"Come World Ministries, Inc.",1034 Prospect Avenue,Bronx,10459,40.824552,-73.899304,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Community Opportunities & Dev. Agency,564 Thomas S Boyland Street,Brooklyn,11212,40.666888,-73.913285,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
SNAP Williamsburg Office,30 Thornton Street,Brooklyn,11206,40.700879,-73.943403,Human Services,Financial Assistance and Social Services,SNAP Centers
Sheltering Arms Children And Family Serv,305 7 Avenue,New York,10001,40.746647,-73.993367,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
Adult Resources Center  Inc (Dba Arc),1145 East   55 Street,Brooklyn,11234,40.629007,-73.922818,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
First Baptist Church,100-10 Astoria Boulevard,East Elmhurst,11369,40.761505,-73.868818,Human Services,Soup Kitchens and Food Pantries,Soup Kitchen
Contemporary Guidance Svcs Inc,52 Broadway,New York,10004,40.70648,-74.012271,Human Services,Programs for People with Disabilities,Programs for People with Disabilities
